"No","Comment"
120,"sebenernya namatin game berjam-jam itu tergantung playernya juga sih mnurut gw, contoh temen gw maenin assassins creed katanya bisa sampe 17jam'an lebih cuma storynya aja yg dimainin, sedangkan gw bisa hemat waktu 4 jam'an di game yg sama dia yg mainin. apalagi game-game skrg bukan sekedar kesenangan juga sih harus asah otak pikiran juga kalo otak lo lama nangkep lama juga namatin gamenya"
121,"Betul! sebenernya ga masalah berapa jam pun selama punya waktu dan kita enjoy maininnya bro"
122,"Betul bang, gameplay assassin creed gua udah nyentuh 40 jam dan itu belum sampe mid game story. Karena kebanyakan eksplor map nya"
123,"​ @putragalih673 wkwkwk gw juga sama sih AC: Odyssey gw belum selelesai sampe sekarang"
124,"long play buat game bagi ane masih di pegang skyrim ,gak ada bosennya ma tu game"
125,"wkwkwkw jelass kalo itu sih  witcher 3 juga masih gw mainin walupun kadang combatnya rada clunky, soalnya lore-nya keren"
126,"kalo gw pro game story base rpg 100 jam.. maenin cukup 3 jam sehari... istirahat dan kerjaan masih bisa lancar... plusnya irit duit beli game, by the time gamenya kelar... game lain udah turun harga.. gw lebih milih game ini dibanding soul like yg tergantung combo dan susah.. lama karena durasi game jauh lebih baik (witcher game, AC) dibanding lama karena mati mulu (sekiro).."
127,"Alan wake 2 absolute cinema"
128,"ahahaha betul banget! cutscenenya sekelas film gitu gokil"
129,"God of war kok gak masuk"
130,"listnya keburu penuh bro  nanti pasti ada part selanjutnya kok, ditunggu aja yaa"
131,"ea fc 25 gw udah 300jam anjg"
132,"Red Dead Redemption dan Monster Hunter Series Paling Seru dan Asyik For Me Really Really 100 Ours. Tapi Seneng Aku Ama Games Ke Gitu"
